item,user,rating
B004Z7H07K,A2IMGHMF0LO151,5
B00A850SFO,A2JF25F54Q1W3N,5
B004BW8TYC,A2N5G1JF94MSXB,5
B001T8OFQM,A3LI3FBTL9FH47,5
B00BN6QAVI,A1WXJ1I42UOQ2V,5
B006BLH4XI,A30Z0GG96D11EO,2
B005R1RZUK,A2DWM8KE05HHCE,5
B007S3S8HO,A3AG5QAT8L0I3R,2
B007SA1QYO,AA17V3BW5DL4A,5
B009F00PYC,AHWM7QXSK7LO3,5
B0038M8EQO,A2EBYDZKTGJU9I,5
B000VCE3Z0,A3DQYY2XM24E53,5
B006UD2RB6,A2C2GYX772W0NW,5
B000930CLA,A3LWV94ZSGJANY,5
B008PUQJ3E,A19BHEJX6CI57M,5
B000REP3E2,A3315JVET0DEAS,5
B003YXZB22,A2MGLSYLCKIV67,5
B001PPBC92,A14THIJ52IXZSA,4
B006OJM52C,A2E2PA6UNK1E05,5
B0050QQUS0,A1W4F91DH3XPB2,5
B0063NLRYQ,A1ASFOZ19DJLGA,5
B0088LQZYS,A3R6YTQ5O6MBCE,4
B0013JPVN8,A2TYS36XMDONL,5
B005VPRDWC,A25EHZNTPJ3OA9,4
B006HDF3B0,A1246UPDRQT4QA,5
B00068Q7LC,A3BBXUM2S31IV3,3
B000UEL172,A2MAIVG6O3XUV0,5
1932188126,A10PEXB6XAQ5XF,4
B0090GWU08,AKX9EQ37PAYMY,5
B00007A1S5,A318IDAWJ9ZYAY,5
B00146G71U,A1FQNNX80WYWKR,4
B00005UNAV,A3IGA5VGRQ6A6B,5
B00CS0F0IM,A1MJFTAZUCGNYU,5
B009Y5SD42,A1XC31MNJFKEO8,5
B0090GWVAC,A1GGTQYG1LODK0,4
B00B7F9IDM,A1GNOGYCB2XWO1,5
B00E1TBEZG,A7F49F3JKE81D,3
B00627IS5Y,A3ONUIQUDAD8XI,3
B0043RSSHS,A3L0HOM7SL74MJ,5
B007OO5XCU,A23GS4UGLQBG2V,4
B000GL1BHO,A39OE9HEFSYF5D,5
B00B2AYLYS,A1J2ADAHIJS3N2,5
B008GS8NSO,A1WBEIH7Z37LN9,3
B00061I4U6,AGPY7YF47M724,5
B003QHU9O6,A168O2YKPE9BE8,5
B0038AR75K,A303QMGUS003J,5
B000I9RZOW,A1OC3U7Y1AGFXB,5
B00A8O86H2,A3BL2F6DSZETIL,5
B00CG0CKXW,A3V14SK22N2VAI,4
B001C8CO26,A12L8MMK7Q9XOQ,5
B004R1ZUNA,A2YG3VKX9E7V37,3
B006ROJI38,A2AF0NOCM71J0B,5
B000BN8XP0,A2FYG48QLUP7V2,5
B00BPRLGSW,A19WEEGB05YAZ3,5
B000EEL8A8,A316V85XSH2TE9,4
B00000IWIA,A2WQSJ8U3S2OVH,2
B002G21EYG,A23971D63L3JVG,2
B000MOL2GU,ADE27DYM1JDQZ,5
B009T45XDW,A1DCAY310FQ2HC,5
B000NRVFTA,APYZL0QZOCMOH,5
B000FMNZBY,A25ZRXZYWLFC4R,5
B005NM4ECA,A19YOYY7FLQMA6,5
B000FK3WDC,A3P6ET0G4CR86C,5
B004SMX7YC,A1W536D0ETL9D1,3
B004478GMY,AI8XVVYFDL2CA,5
B00083HIL8,A32EBQDMOPEJHE,2
B004O0TOK4,A2I9WSHWUBKGF1,5
B0007PC9CK,A1XVZHZ8LLIPN,5
